epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2006,1.31656,0.72804,1.13624,0.85628,0.7939,0.85107,0.51766,1.66686,0.84344,1.36296,0.000414013,0.000414013,0.000414013
2,55.3963,1.38347,0.78439,1.15488,0.81743,0.7718,0.8356,0.50633,1.71451,0.8797,1.38904,0.000814232,0.000814232,0.000814232
3,82.4204,1.40779,0.81388,1.18245,0.85818,0.77564,0.85009,0.49895,1.72065,0.92874,1.39944,0.00119795,0.00119795,0.00119795
4,109.608,1.43601,0.84632,1.1833,0.85207,0.77225,0.84595,0.48737,1.7286,0.92332,1.38728,0.00117575,0.00117575,0.00117575
5,136.764,1.49104,0.8759,1.21304,0.81409,0.68743,0.79476,0.45117,1.73349,0.95487,1.40619,0.001151,0.001151,0.001151
6,164.079,1.45505,0.85133,1.19504,0.8477,0.70363,0.80578,0.45769,1.73707,0.91667,1.40956,0.00112625,0.00112625,0.00112625
7,191.415,1.43915,0.85121,1.18584,0.7712,0.70138,0.79513,0.46831,1.69882,0.9223,1.38043,0.0011015,0.0011015,0.0011015
8,218.934,1.47442,0.85316,1.19676,0.86344,0.76999,0.8379,0.50094,1.71556,0.91966,1.39915,0.00107675,0.00107675,0.00107675
9,246.308,1.42178,0.83068,1.18043,0.8571,0.78385,0.83247,0.48935,1.72015,0.90511,1.39386,0.001052,0.001052,0.001052
10,273.96,1.45156,0.84112,1.18639,0.8609,0.67728,0.81628,0.48713,1.73053,0.91386,1.40253,0.00102725,0.00102725,0.00102725
11,301.529,1.43348,0.8322,1.17645,0.83341,0.77378,0.83742,0.5033,1.68976,0.89425,1.37281,0.0010025,0.0010025,0.0010025
12,329.129,1.42623,0.83303,1.18668,0.81542,0.77443,0.81225,0.45092,1.69705,0.89201,1.36809,0.00097775,0.00097775,0.00097775
13,356.749,1.44343,0.82971,1.18829,0.85857,0.77844,0.84993,0.49885,1.70877,0.89569,1.37541,0.000953,0.000953,0.000953
14,384.38,1.41567,0.82169,1.17494,0.87221,0.74065,0.83732,0.49344,1.70449,0.89303,1.38487,0.00092825,0.00092825,0.00092825
15,412.132,1.43198,0.82281,1.17509,0.81266,0.79343,0.84476,0.50152,1.68481,0.88051,1.36466,0.0009035,0.0009035,0.0009035
16,439.801,1.42642,0.81204,1.18425,0.88251,0.7542,0.8455,0.50504,1.68635,0.88403,1.37577,0.00087875,0.00087875,0.00087875
17,467.609,1.38523,0.78736,1.1597,0.82599,0.79488,0.83972,0.49022,1.71291,0.90593,1.38035,0.000854,0.000854,0.000854
18,495.414,1.38472,0.78393,1.17439,0.83741,0.79871,0.84042,0.5148,1.70146,0.8815,1.37621,0.00082925,0.00082925,0.00082925
19,523.302,1.37828,0.77995,1.15694,0.81467,0.78883,0.85576,0.50935,1.71003,0.88247,1.36912,0.0008045,0.0008045,0.0008045
20,551.102,1.40342,0.78183,1.17194,0.85528,0.79539,0.85832,0.52139,1.68294,0.86819,1.37528,0.00077975,0.00077975,0.00077975
21,579.241,1.35793,0.75953,1.13694,0.87438,0.7794,0.85448,0.51684,1.67083,0.86109,1.36545,0.000755,0.000755,0.000755
22,607.127,1.37068,0.77604,1.15965,0.86013,0.80032,0.85707,0.51563,1.67333,0.85339,1.36944,0.00073025,0.00073025,0.00073025
23,635.217,1.32811,0.75103,1.14457,0.86327,0.80505,0.86488,0.52691,1.66754,0.8487,1.36115,0.0007055,0.0007055,0.0007055
24,663.364,1.3604,0.76042,1.14558,0.87278,0.79358,0.86251,0.53673,1.65909,0.85488,1.36715,0.00068075,0.00068075,0.00068075
25,691.443,1.36919,0.7571,1.16269,0.88058,0.81647,0.86775,0.53865,1.6765,0.84271,1.36713,0.000656,0.000656,0.000656
26,719.84,1.34155,0.74522,1.13847,0.87292,0.81366,0.87061,0.53248,1.67286,0.83174,1.36569,0.00063125,0.00063125,0.00063125
27,748.05,1.35228,0.74815,1.14358,0.90311,0.79043,0.86579,0.5251,1.6564,0.8393,1.35761,0.0006065,0.0006065,0.0006065
28,776.157,1.30361,0.71882,1.12135,0.8717,0.81356,0.86702,0.52599,1.65492,0.82988,1.35273,0.00058175,0.00058175,0.00058175
29,804.458,1.3421,0.74628,1.14602,0.90207,0.81347,0.87049,0.55623,1.65805,0.83005,1.36964,0.000557,0.000557,0.000557
