epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7203,2.27783,2.37547,1.73917,0.43609,0.42246,0.36157,0.15453,2.18616,2.15783,1.8363,0.000411392,0.000411392,0.000411392
2,52.9987,2.01151,1.62874,1.52203,0.41181,0.42086,0.33202,0.14378,2.07764,1.92575,1.73391,0.000811664,0.000811664,0.000811664
3,79.175,2.03879,1.63252,1.55839,0.49192,0.1956,0.14184,0.05652,2.25889,2.59071,1.90715,0.00119543,0.00119543,0.00119543
4,105.486,1.99916,1.54642,1.51463,0.45757,0.39986,0.38231,0.16592,2.07604,1.66393,1.64776,0.00117575,0.00117575,0.00117575
5,131.88,1.94948,1.48738,1.49501,0.47318,0.44663,0.40345,0.17259,2.02113,1.53927,1.63742,0.001151,0.001151,0.001151
6,158.423,1.91034,1.41193,1.4541,0.55657,0.47439,0.49091,0.23537,1.93846,1.37601,1.53535,0.00112625,0.00112625,0.00112625
7,184.806,1.90525,1.42032,1.46142,0.56011,0.54067,0.5367,0.25744,1.88663,1.36369,1.54764,0.0011015,0.0011015,0.0011015
8,211.593,1.81967,1.32833,1.40268,0.591,0.563,0.54306,0.26267,1.84873,1.32853,1.50711,0.00107675,0.00107675,0.00107675
9,238.431,1.82197,1.2833,1.39532,0.69011,0.55477,0.62477,0.31052,1.82174,1.20831,1.46081,0.001052,0.001052,0.001052
10,265.104,1.77816,1.26826,1.38728,0.69657,0.51611,0.59163,0.29328,1.8639,1.24236,1.48761,0.00102725,0.00102725,0.00102725
11,292.111,1.76177,1.24526,1.36632,0.72555,0.57589,0.62325,0.31204,1.79743,1.2011,1.44955,0.0010025,0.0010025,0.0010025
12,318.944,1.7407,1.20193,1.36263,0.74489,0.6134,0.66216,0.34943,1.79454,1.17413,1.45154,0.00097775,0.00097775,0.00097775
13,345.836,1.76578,1.20968,1.35824,0.75044,0.59523,0.6736,0.34379,1.75481,1.1449,1.39379,0.000953,0.000953,0.000953
14,372.849,1.75014,1.17364,1.34863,0.83324,0.59584,0.69195,0.37454,1.76413,1.13116,1.44314,0.00092825,0.00092825,0.00092825
15,399.715,1.70675,1.1559,1.3353,0.69731,0.62275,0.68295,0.34115,1.77598,1.16414,1.42358,0.0009035,0.0009035,0.0009035
16,426.488,1.70148,1.14973,1.34411,0.7613,0.63231,0.68384,0.35397,1.7716,1.11263,1.44159,0.00087875,0.00087875,0.00087875
17,453.771,1.7234,1.13697,1.33611,0.68818,0.61323,0.65819,0.34346,1.79107,1.13094,1.43922,0.000854,0.000854,0.000854
18,481.042,1.67732,1.113,1.31879,0.74411,0.63223,0.70353,0.37561,1.75798,1.08554,1.41969,0.00082925,0.00082925,0.00082925
19,508.69,1.69564,1.08916,1.31437,0.71712,0.63301,0.69514,0.36377,1.76361,1.08902,1.4048,0.0008045,0.0008045,0.0008045
20,536.22,1.66377,1.08647,1.3056,0.77311,0.60232,0.71881,0.393,1.73227,1.02926,1.38068,0.00077975,0.00077975,0.00077975
21,563.532,1.69043,1.08373,1.33009,0.80791,0.65053,0.71658,0.38283,1.72321,1.05034,1.39925,0.000755,0.000755,0.000755
22,590.779,1.64199,1.06168,1.30599,0.84708,0.63482,0.7168,0.37971,1.7413,1.0551,1.40264,0.00073025,0.00073025,0.00073025
23,618.448,1.61462,1.02432,1.27123,0.74804,0.65035,0.73404,0.39759,1.71727,1.03477,1.37616,0.0007055,0.0007055,0.0007055
24,645.993,1.58427,0.9995,1.2577,0.80682,0.67007,0.74868,0.40638,1.74299,1.03066,1.39701,0.00068075,0.00068075,0.00068075
25,673.252,1.59392,1.00775,1.28325,0.79279,0.66957,0.7528,0.41674,1.70781,1.00361,1.38642,0.000656,0.000656,0.000656
26,700.771,1.5921,0.99811,1.26819,0.79989,0.68157,0.77977,0.43085,1.69035,0.98797,1.37487,0.00063125,0.00063125,0.00063125
27,728.581,1.59963,0.98216,1.27319,0.7696,0.70569,0.77375,0.43397,1.6943,0.97972,1.36483,0.0006065,0.0006065,0.0006065
28,756.146,1.55919,0.96729,1.258,0.83677,0.68054,0.78186,0.44285,1.7048,0.96676,1.38426,0.00058175,0.00058175,0.00058175
29,783.644,1.56042,0.95202,1.25301,0.80326,0.72381,0.7949,0.44596,1.68319,0.95176,1.37215,0.000557,0.000557,0.000557
30,811.274,1.52246,0.91053,1.21573,0.83899,0.7272,0.81344,0.4548,1.68037,0.94248,1.345,0.00053225,0.00053225,0.00053225
31,838.859,1.56415,0.94619,1.25262,0.88411,0.68352,0.8025,0.44952,1.67817,0.96207,1.3641,0.0005075,0.0005075,0.0005075
32,866.651,1.5067,0.91398,1.22605,0.83343,0.73294,0.82365,0.46759,1.66298,0.92661,1.34202,0.00048275,0.00048275,0.00048275
33,894.107,1.51851,0.92492,1.23553,0.86453,0.72234,0.82688,0.48204,1.67457,0.91972,1.34159,0.000458,0.000458,0.000458
34,921.838,1.52792,0.90754,1.22743,0.8673,0.71468,0.80295,0.44671,1.66531,0.9236,1.33269,0.00043325,0.00043325,0.00043325
35,949.473,1.48767,0.89721,1.20758,0.85622,0.73143,0.83255,0.48822,1.65949,0.92813,1.33561,0.0004085,0.0004085,0.0004085
36,977.247,1.50384,0.88162,1.21085,0.83158,0.75587,0.83019,0.49106,1.64983,0.91101,1.33018,0.00038375,0.00038375,0.00038375
37,1004.81,1.49775,0.8921,1.21814,0.85057,0.73461,0.82977,0.49627,1.65978,0.89665,1.33734,0.000359,0.000359,0.000359
38,1032.64,1.44867,0.85173,1.18888,0.87553,0.74743,0.83268,0.47943,1.65226,0.89721,1.33196,0.00033425,0.00033425,0.00033425
39,1060.47,1.44113,0.84275,1.18296,0.85012,0.76613,0.8442,0.48568,1.64454,0.87964,1.32725,0.0003095,0.0003095,0.0003095
40,1088.15,1.48047,0.84946,1.19867,0.88414,0.75618,0.84354,0.49748,1.65665,0.87504,1.33092,0.00028475,0.00028475,0.00028475
41,1116.21,1.49149,0.8304,1.21848,0.84341,0.7661,0.84188,0.5004,1.662,0.88207,1.33399,0.00026,0.00026,0.00026
42,1143.62,1.4902,0.82669,1.2122,0.86896,0.78007,0.84604,0.50645,1.63829,0.86941,1.3183,0.00023525,0.00023525,0.00023525
43,1170.98,1.48623,0.82118,1.2166,0.87088,0.79239,0.85838,0.50984,1.63581,0.87293,1.31666,0.0002105,0.0002105,0.0002105
44,1198.35,1.46144,0.80802,1.2039,0.85748,0.80342,0.86272,0.51977,1.63449,0.86472,1.31886,0.00018575,0.00018575,0.00018575
45,1225.55,1.44516,0.80002,1.20405,0.88243,0.78779,0.85619,0.51547,1.62987,0.86155,1.31918,0.000161,0.000161,0.000161
46,1252.9,1.42688,0.78548,1.18557,0.90208,0.8023,0.86737,0.53114,1.62917,0.84319,1.31796,0.00013625,0.00013625,0.00013625
47,1280.19,1.42968,0.78519,1.1932,0.89387,0.77313,0.86694,0.53866,1.62451,0.85091,1.31691,0.0001115,0.0001115,0.0001115
48,1307.61,1.41757,0.77361,1.1824,0.86383,0.78958,0.85914,0.52829,1.62756,0.84114,1.3209,8.675e-05,8.675e-05,8.675e-05
49,1334.83,1.40526,0.77178,1.18348,0.87864,0.78729,0.86038,0.52968,1.62483,0.83779,1.3168,6.2e-05,6.2e-05,6.2e-05
50,1362.16,1.3739,0.74756,1.16614,0.89304,0.78262,0.86349,0.53263,1.62018,0.83943,1.31646,3.725e-05,3.725e-05,3.725e-05
